Embeding,Source,Links,Link2,Links3,Method,Category,Original Dimensions
NODE2VEC,ANDES Paper,https://www.biorxiv.org/content/10.1101/2023.11.21.568145v3.full.pdf,-,-,skip-gram/CBOW,PPI,"(20362, 128)"
ESM2,Lechuan ,-,-,https://github.com/facebookresearch/esm?tab=readme-ov-file#bulk_fasta,Transformer,amino acid sequence,"(18902, 1280)"
MUT2VEC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,http://infos.korea.ac.kr/mut2vec/,skip-gram/CBOW,"mutation profile, biomedical literature, PPI","(17500, 300)"
GENE2VEC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/jingcheng-du/Gene2vec,skip-gram/CBOW,gene expression (bulk),"(17798, 200)"
TCGA-EMBEDDING,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/zeochoy/tcga-embedding,MLP,gene expression (bulk),"(18432, 50)"
BLAST,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,non-ML,amino acid sequence,"(18910, 20421)"
HMMER,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,non-ML,amino acid sequence,"(18910, 20421)"
KSEP,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,non-ML,amino acid sequence,"(18835, 400)"
PFAM,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,non-ML,amino acid sequence,"(18910, 6227)"
APAAC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,non-ML,amino acid sequence,"(18908, 80)"
AAC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,non-ML,amino acid sequence,"(18910, 20)"
ESMB1,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,Transformer,amino acid sequence,"(18493, 1280)"
ALBERT,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/agemagician/ProtTrans,Transformer,amino acid sequence,"(18493, 4096)"
T5,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/agemagician/ProtTrans,Transformer,amino acid sequence,"(18493, 1024)"
BERT-BFD,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/agemagician/ProtTrans,Transformer,amino acid sequence,"(18493, 1024)"
XLNET,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/agemagician/ProtTrans,Transformer,amino acid sequence,"(18493, 1024)"
BERT-PFAM,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,Transformer,amino acid sequence,"(18494, 768)"
